# MaleCNS v1.0 soma positions, every 7th of 141781 by bodyId order (deterministic, FR-PRP-09)
bodyId,x,y,z
12956,6614,36834,33148
12964,31743,36294,25663
12972,54090,42637,19657
12979,34704,27196,38714
12986,3222,32918,37030
12993,32850,36364,20322
13000,32734,37404,21260
13009,34214,16230,16087
13016,45766,7027,17380
13024,35315,29748,19201
13031,44196,6971,20468
13038,22688,22976,22374
13046,56983,34144,12943
13053,70289,37811,24825
13062,60312,25222,36652
13070,60114,35798,15155
13077,36735,30775,19993
13085,32131,22091,36221
13093,63614,40087,30107
13100,50159,8661,27320
13108,30806,36378,23900
13115,42169,37610,13638
13122,35329,21906,35509
13130,41079,46160,22258
13137,36776,57108,83468
13144,73380,20774,19448
13151,42256,21772,36543
13159,67978,33120,23996
13168,73232,15532,23412
13177,63619,21760,35952
13184,31376,29188,16442
13192,57286,15481,36052
13201,34756,12666,17743
13212,51365,11750,28386
13219,55794,19709,37276
13227,48578,17800,33121
13234,61156,19898,36148
13241,33509,37464,22243
13249,55059,11672,31226
13256,25452,20962,24892
13263,37739,30563,37900
13270,33502,22746,35562
13278,38290,42755,19839
13285,23462,26428,26938
13292,74861,33940,21583
13300,22139,20075,21853
13307,52950,14592,33550
13314,56286,33450,12435
13322,46982,17410,35360
13330,35638,18792,37382
13340,63182,20221,35923
13348,42642,45769,20138
13356,56148,27636,10293
13363,33838,31338,14228
13371,39182,31150,38700
13378,47194,41408,119348
13386,43737,23403,13626
13393,34798,41156,28736
13401,70610,33349,22269
13408,73018,19714,27274
13417,43922,13638,32295
13424,73002,21166,19114
13432,48562,46304,33743
13440,43754,35452,15652
13448,35950,41191,32703
13456,63126,22842,15226
13465,46982,45382,118022
13472,61500,30111,15921
13480,41861,22372,14156
13488,25571,18445,24179
13497,22194,19649,26961
13504,43572,11014,28692
13511,20277,33958,22703
13521,73363,16629,19901
13528,36696,40330,18528
13536,80645,38014,23339
13544,42962,33640,13348
13553,89779,42665,32538
13560,33227,35814,19021
13569,22011,26856,22765
13576,36237,18605,35671
13583,64529,25196,13729
13592,46516,48096,27975
13600,35716,32780,17335
13610,32912,32516,16056
13617,25530,40840,25114
13625,37329,42400,19951
13633,60138,39456,19420
13642,61554,17126,34738
13650,54863,34211,17724
13657,53576,62764,84092
13664,24324,22676,25188
13672,73216,16420,26502
13680,63700,32769,33463
13689,57812,40186,19859
13697,72662,23230,27476
13704,65710,22737,35968
13712,48937,6746,21382
13719,38949,39911,18678
13727,22852,17346,28884
13735,73448,20237,22520
13742,65346,7038,31414
13750,25414,12524,25132
13758,50848,64278,81322
13766,67671,33436,27738
13773,43646,33990,17177
13781,61775,38483,34491
13788,68435,15916,17449
13795,33016,40642,29662
13803,62885,40134,33895
13810,63324,26586,37422
13817,70832,35836,22727
13824,24823,22208,20858
13832,37388,35612,13528
13839,48261,14644,33637
13847,19368,19154,26346
13856,46508,48952,27804
13863,36137,35804,13987
13872,43665,33918,15029
13880,39242,39016,16330
13887,28016,21068,18437
13894,71372,18332,21450
13902,63224,13634,33568
13913,68350,14060,18863
13923,66612,41386,29286
13931,28971,36176,27423
13938,29333,35437,25994
13945,38780,19786,36079
13954,34408,6894,31148
13962,60910,36140,35759
13969,41953,37794,16241
13976,73460,20804,28282
13985,62427,22054,14765
13994,42347,45836,22631
14001,33800,39040,28937
14009,61252,30916,13428
14017,26118,15639,23320
14024,37026,46908,87470
14031,77223,38500,21899
14040,58520,35318,16624
14048,57356,39232,18614
14055,65196,21722,16396
14063,50142,65012,79769
14074,74110,11258,24723
14081,62058,60605,117484
14089,33306,21430,37296
14097,71518,20908,39542
14104,16790,41882,25731
14112,31258,37516,24934
14119,46048,45272,117606
14128,72900,43228,24466
14135,47997,14962,30355
14143,64708,38511,27816
14151,45654,17136,33194
14158,32898,31564,16426
14166,89063,19040,33989
14175,42370,13662,35374
14186,37214,23130,36786
14196,52890,60223,68050
14203,29798,38756,24803
14210,34766,40175,27146
14218,39659,9485,30501
14226,51012,9646,14378
14233,36239,35496,34836
14241,65858,20714,36102
